,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
gu_IN_tuned_100,19.1844,5.4596,17.0431,17.0392,19.1844,5.4596,17.0431,17.0392,73.8198,72.1172,72.9103,0.0,0.0,0.0,100.0,0.0,17.206
gu_IN_tuned_1000,20.5236,6.5492,18.1975,18.1914,20.5236,6.5492,18.1975,18.1914,74.3049,72.6904,73.4424,0.0,0.0,0.0,100.0,0.0,16.7526
gu_IN_tuned_all,22.4241,7.95,20.1713,20.1325,22.4241,7.95,20.1713,20.1325,75.5771,73.0791,74.2576,0.0,0.0,0.0,100.0,0.0,14.8504
gu_IN_zero,0.4757,0.0701,0.4665,0.3953,0.4757,0.0701,0.4665,0.3953,57.657,58.0891,57.8564,98.7168,0.0,0.0,1.2832,0.0,62.7368
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_multiEnEsRu,34.9618,15.096,28.1341,28.1248,27.4745,11.9629,23.21,23.1971,76.4213,73.5552,74.9027,0.0,0.0,100.0,0.0,0.0,18.3735
ru_RU_multiEnEsRu_adv_kldivloss,33.8575,14.1892,27.1745,27.1669,26.3818,11.1322,22.2993,22.2892,76.2599,73.144,74.6156,0.0,0.0,100.0,0.0,0.0,17.5624
ru_RU_multiEnEsRu_adv_nll,34.6497,14.8175,27.679,27.669,27.1626,11.7295,22.8228,22.8099,75.9999,73.7361,74.7969,0.0,0.0,100.0,0.0,0.0,19.3544
ru_RU_tuned_10,29.5391,10.1318,23.2175,23.2041,22.1914,7.4899,18.419,18.403,75.0334,71.3526,73.096,0.0,0.0,100.0,0.0,0.0,16.6812
ru_RU_tuned_100,30.2806,10.9358,23.5945,23.5888,23.0029,8.2085,18.9432,18.9334,74.4545,72.0938,73.2041,0.0,0.0,100.0,0.0,0.0,19.1995
ru_RU_tuned_1000,30.8946,11.5337,24.0466,24.0423,23.754,8.8397,19.5127,19.5048,73.968,72.6706,73.2589,0.0,0.0,100.0,0.0,0.0,21.2892
ru_RU_tuned_10000,31.7916,12.3036,24.7019,24.6908,24.7467,9.5428,20.2306,20.2171,73.7028,73.1693,73.3808,0.0,0.0,100.0,0.0,0.0,23.2672
ru_RU_tuned_all,34.992,15.0027,27.9392,27.9298,27.5246,11.8891,23.12,23.1077,76.1067,73.6944,74.8215,0.0,0.0,100.0,0.0,0.0,19.103
ru_RU_zero,1.342,0.3254,1.2632,1.24,1.0544,0.2365,1.0089,0.9852,64.3111,65.0989,64.6792,95.6196,0.0,4.3804,0.0,0.0,49.3062
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
